,DMA Rank,dma,facility_id,Call Sign,Channel,Facility Service,Interference2,population,Volume3,Scaled Volume4,p_open,Move to Low VHF,Move to High VHF,pre_auction_band
13,1,"New York, NY",73207,WMUN-CD,45,DC,83,7329889.0,24665,404452,364006800.0,"$273,005,100 ","$145,602,720 ",UHF
14,1,"New York, NY",47535,WNBC,28,DT,165,20338490.0,57930,949906,854915400.0,"$641,186,550 ","$341,966,160 ",UHF
15,1,"New York, NY",18795,WNET,13,DT,123,20145508.0,49778,816246,440772840.0,"$257,117,490 ",,HVHF
16,1,"New York, NY",48457,WNJB,8,DT,188,15135992.0,53344,874709,472342860.0,"$275,533,335 ",,HVHF
17,1,"New York, NY",48477,WNJN,51,DT,156,17655414.0,52481,860559,774503100.0,"$580,877,325 ","$309,801,240 ",UHF
18,1,"New York, NY",73333,WNJU,36,DT,179,20777271.0,60985,1000000,900000000.0,"$675,000,000 ","$360,000,000 ",UHF
19,1,"New York, NY",6048,WNYE-TV,24,DT,146,18598945.0,52110,854476,769028400.0,"$576,771,300 ","$307,611,360 ",UHF
20,1,"New York, NY",20818,WNYJ-TV,29,DT,128,13990068.0,42317,693896,624506400.0,"$468,379,800 ","$249,802,560 ",UHF
21,1,"New York, NY",22206,WNYW,44,DT,162,19465847.0,56156,920817,828735300.0,"$621,551,475 ","$331,494,120 ",UHF
22,1,"New York, NY",73881,WPIX,11,DT,120,19930905.0,48905,801924,433038960.0,"$252,606,060 ",,HVHF
23,1,"New York, NY",73356,WPXN-TV,31,DT,132,18859697.0,49895,818151,736335900.0,"$552,251,925 ","$294,534,360 ",UHF
24,1,"New York, NY",74156,WRNN-TV,48,DT,196,16748933.0,57296,939509,845558100.0,"$634,168,575 ","$338,223,240 ",UHF
25,1,"New York, NY",67993,WTBY-TV,27,DT,195,10979519.0,46271,758732,682858800.0,"$512,144,100 ","$273,143,520 ",UHF
26,1,"New York, NY",70158,WVVH-CD,50,DC,64,69418.0,2108,34563,31106700.0,"$23,330,025 ","$12,442,680 ",UHF
27,1,"New York, NY",74197,WWOR-TV,38,DT,155,19628557.0,55158,904460,814014000.0,"$610,510,500 ","$325,605,600 ",UHF
28,1,"New York, NY",74215,WXTV-DT,40,DT,165,19476238.0,56688,929552,836596800.0,"$627,447,600 ","$334,638,720 ",UHF
29,1,"New York, NY",70493,WZME,42,DT,191,5605697.0,32721,536551,482895900.0,"$362,171,925 ","$193,158,360 ",UHF
30,2,"Los Angeles, CA",282,KABC-TV,7,DT,69,17192954.0,34443,564780,304981200.0,"$177,905,700 ",,HVHF
31,2,"Los Angeles, CA",29234,KAZA-TV,47,DT,92,15459782.0,37713,618408,556567200.0,"$417,425,400 ","$222,626,880 ",UHF
32,2,"Los Angeles, CA",56384,KBEH,24,DT,102,17110735.0,41777,685036,616532400.0,"$462,399,300 ","$246,612,960 ",UHF
33,2,"Los Angeles, CA",21422,KCAL-TV,9,DT,67,17059630.0,33808,554372,299360880.0,"$174,627,180 ",,HVHF
34,2,"Los Angeles, CA",9628,KCBS-TV,43,DT,86,15806958.0,36870,604578,544120200.0,"$408,090,150 ","$217,648,080 ",UHF
35,2,"Los Angeles, CA",13058,KCET,28,DT,74,15000797.0,33318,546326,491693400.0,"$368,770,050 ","$196,677,360 ",UHF
36,2,"Los Angeles, CA",33742,KCOP-TV,13,DT,81,17506070.0,37656,617470,333433800.0,"$194,503,050 ",,HVHF
37,2,"Los Angeles, CA",24518,KDOC-TV,32,DT,84,15863765.0,36504,598580,538722000.0,"$404,041,500 ","$215,488,800 ",UHF
38,2,"Los Angeles, CA",60549,KFTR-DT,29,DT,94,16031062.0,38819,636538,572884200.0,"$429,663,150 ","$229,153,680 ",UHF
39,2,"Los Angeles, CA",60026,KHTV-CD,27,DC,91,10548248.0,30982,508031,457227900.0,"$342,920,925 ","$182,891,160 ",UHF
40,2,"Los Angeles, CA",63865,KILM,44,DT,114,15423581.0,41932,687582,618823800.0,"$464,117,850 ","$247,529,520 ",UHF
41,2,"Los Angeles, CA",14000,KJLA,49,DT,92,16210613.0,38618,633247,569922300.0,"$427,441,725 ","$227,968,920 ",UHF
42,2,"Los Angeles, CA",38430,KLCS,41,DT,88,15712525.0,37185,609738,548764200.0,"$411,573,150 ","$219,505,680 ",UHF
43,2,"Los Angeles, CA",35123,KMEX-DT,34,DT,82,15642463.0,35815,587271,528543900.0,"$396,407,925 ","$211,417,560 ",UHF
44,2,"Los Angeles, CA",47906,KNBC,36,DT,103,16317415.0,40996,672239,605015100.0,"$453,761,325 ","$242,006,040 ",UHF
45,2,"Los Angeles, CA",3167,KNET-CD,25,DC,89,9734124.0,29434,482639,434375100.0,"$325,781,325 ","$173,750,040 ",UHF
46,2,"Los Angeles, CA",167309,KNLA-CD,50,DC,56,13151041.0,27138,444993,400493700.0,"$300,370,275 ","$160,197,480 ",UHF
47,2,"Los Angeles, CA",4328,KOCE-TV,48,DT,95,16273921.0,39319,644744,580269600.0,"$435,202,200 ","$232,107,840 ",UHF
48,2,"Los Angeles, CA",58978,KPXN-TV,38,DT,103,15083900.0,39416,646331,581697900.0,"$436,273,425 ","$232,679,160 ",UHF
49,2,"Los Angeles, CA",22161,KRCA,35,DT,92,16133573.0,38526,631740,568566000.0,"$426,424,500 ","$227,426,400 ",UHF
50,2,"Los Angeles, CA",35608,KSCI,18,DT,99,15809822.0,39562,648725,583852500.0,"$437,889,375 ","$233,541,000 ",UHF
51,2,"Los Angeles, CA",191101,KSFV-CD,22,DC,104,11801199.0,35033,574459,517013100.0,"$387,759,825 ","$206,805,240 ",UHF
52,2,"Los Angeles, CA",36717,KSKJ-CD,45,DC,81,1654267.0,11576,189812,170830800.0,"$128,123,100 ","$68,332,320 ",UHF
53,2,"Los Angeles, CA",67884,KTBN-TV,33,DT,90,15934736.0,37870,620973,558875700.0,"$419,156,775 ","$223,550,280 ",UHF
54,2,"Los Angeles, CA",35670,KTLA,31,DT,93,16672537.0,39377,645686,581117400.0,"$435,838,050 ","$232,446,960 ",UHF
55,2,"Los Angeles, CA",22208,KTTV,11,DT,79,17503518.0,37186,609755,329267700.0,"$192,072,825 ",,HVHF
56,2,"Los Angeles, CA",58795,KVCR-DT,26,DT,126,14352812.0,42526,697321,627588900.0,"$470,691,675 ","$251,035,560 ",UHF
57,2,"Los Angeles, CA",19783,KVEA,39,DT,97,16483514.0,39986,655677,590109300.0,"$442,581,975 ","$236,043,720 ",UHF
58,2,"Los Angeles, CA",16729,KVMD,23,DT,79,3664613.0,17015,279002,251101800.0,"$188,326,350 ","$100,440,720 ",UHF
60,2,"Los Angeles, CA",26231,KWHY-TV,42,DT,80,15470257.0,35180,576863,519176700.0,"$389,382,525 ","$207,670,680 ",UHF
